iter	Passed	Remaining
0	24	24669
1	37	18591
2	47	15719
3	57	14204
4	67	13361
5	78	12959
6	86	12306
7	97	12123
8	107	11839
9	116	11572
10	126	11365
11	136	11244
12	146	11145
13	156	11002
14	166	10922
15	175	10821
16	185	10736
17	196	10701
18	207	10710
19	218	10710
20	230	10737
21	242	10777
22	256	10909
23	266	10854
24	277	10839
25	286	10734
26	296	10681
27	306	10630
28	315	10570
29	325	10523
30	335	10489
31	345	10461
32	355	10430
33	365	10391
34	375	10355
35	386	10338
36	396	10322
37	405	10266
38	416	10262
39	428	10277
40	438	10254
41	447	10208
42	457	10181
43	467	10159
44	478	10147
45	486	10095
46	496	10063
47	505	10029
48	515	10008
49	527	10024
50	536	9988
51	548	9991
52	560	10006
53	568	9964
54	578	9937
55	587	9906
56	596	9875
57	607	9865
58	615	9824
59	625	9799
60	635	9779
61	644	9746
62	652	9711
63	663	9702
64	673	9683
65	681	9638
66	690	9616
67	697	9561
68	711	9599
69	725	9643
70	734	9616
71	744	9595
72	753	9570
73	763	9552
74	772	9529
75	784	9537
76	794	9527
77	805	9523
78	814	9497
79	826	9509
80	842	9559
81	852	9545
82	863	9540
83	874	9533
84	883	9511
85	892	9488
86	902	9473
87	913	9462
88	923	9453
89	932	9426
90	943	9419
91	952	9404
92	962	9387
93	972	9376
94	981	9351
95	990	9329
96	999	9302
97	1009	9287
98	1018	9268
99	1027	9250
100	1035	9219
101	1044	9195
102	1054	9180
103	1063	9160
104	1072	9138
105	1081	9121
106	1090	9102
107	1099	9078
108	1107	9053
109	1116	9030
110	1124	9006
111	1132	8982
112	1142	8964
113	1150	8940
114	1159	8920
115	1167	8896
116	1176	8878
117	1185	8859
118	1194	8839
119	1202	8817
120	1211	8803
121	1222	8800
122	1233	8795
123	1244	8790
124	1261	8829
125	1272	8824
126	1283	8824
127	1294	8818
128	1304	8805
129	1315	8800
130	1330	8827
131	1345	8845
132	1356	8842
133	1369	8853
134	1380	8848
135	1393	8854
136	1406	8862
137	1417	8857
138	1426	8836
139	1435	8819
140	1446	8810
141	1455	8795
142	1464	8775
143	1474	8765
144	1484	8754
145	1494	8738
146	1504	8729
147	1513	8710
148	1523	8703
149	1534	8695
150	1543	8676
151	1552	8660
152	1561	8644
153	1571	8631
154	1582	8627
155	1587	8588
156	1596	8573
157	1607	8564
158	1616	8552
159	1625	8535
160	1635	8520
161	1645	8510
162	1654	8496
163	1665	8487
164	1673	8468
165	1682	8454
166	1692	8439
167	1707	8455
168	1720	8459
169	1730	8449
170	1740	8435
171	1750	8425
172	1758	8407
173	1770	8405
174	1780	8393
175	1789	8376
176	1797	8359
177	1806	8343
178	1816	8333
179	1825	8315
180	1835	8304
181	1844	8290
182	1854	8279
183	1865	8272
184	1873	8255
185	1883	8243
186	1893	8232
187	1902	8216
188	1912	8205
189	1922	8194
190	1931	8181
191	1940	8167
192	1950	8155
193	1959	8140
194	1969	8130
195	1980	8123
196	1989	8108
197	2000	8101
198	2009	8089
199	2018	8074
200	2029	8067
201	2038	8051
202	2047	8037
203	2056	8024
204	2070	8027
205	2079	8014
206	2088	8001
207	2098	7992
208	2110	7988
209	2120	7978
210	2128	7957
211	2139	7952
212	2150	7944
213	2160	7934
214	2169	7922
215	2179	7911
216	2189	7898
217	2199	7890
218	2213	7892
219	2229	7903
220	2240	7897
221	2252	7893
222	2263	7885
223	2272	7873
224	2282	7861
225	2291	7848
226	2301	7836
227	2311	7825
228	2319	7810
229	2329	7799
230	2338	7784
231	2347	7770
232	2356	7756
233	2366	7746
234	2375	7733
235	2385	7720
236	2395	7712
237	2404	7697
238	2414	7688
239	2425	7679
240	2434	7666
241	2443	7654
242	2453	7643
243	2465	7640
244	2476	7633
245	2485	7618
246	2495	7606
247	2504	7594
248	2514	7582
249	2522	7568
250	2533	7561
251	2542	7548
252	2552	7536
253	2562	7526
254	2570	7510
255	2581	7502
256	2590	7489
257	2599	7475
258	2608	7463
259	2619	7456
